Date,Close*,Adj Close**,Volume,
"Jun 07, 2016","2,112.13","2,112.13","3,534,730,000","1,634.00"
"Jun 06, 2016","2,109.41","2,109.41","3,442,020,000","1,635.00"
"Jun 03, 2016","2,099.13","2,099.13","3,627,780,000","1,636.00"
"Jun 02, 2016","2,105.26","2,105.26","3,632,720,000","1,637.00"
"Jun 01, 2016","2,099.33","2,099.33","3,525,170,000","1,638.00"
"May 31, 2016","2,096.95","2,096.95","4,514,410,000","1,639.00"
"May 27, 2016","2,099.06","2,099.06","3,079,150,000","1,640.00"
"May 26, 2016","2,090.10","2,090.10","3,230,990,000","1,641.00"
"May 25, 2016","2,090.54","2,090.54","3,859,160,000","1,642.00"
"May 24, 2016","2,076.06","2,076.06","3,627,340,000","1,643.00"
"May 23, 2016","2,048.04","2,048.04","3,055,480,000","1,644.00"
"May 20, 2016","2,052.32","2,052.32","3,507,650,000","1,645.00"
"May 19, 2016","2,040.04","2,040.04","3,846,770,000","1,646.00"
"May 18, 2016","2,047.63","2,047.63","4,101,320,000","1,647.00"
"May 17, 2016","2,047.21","2,047.21","4,108,960,000","1,648.00"
"May 16, 2016","2,066.66","2,066.66","3,501,360,000","1,649.00"
"May 13, 2016","2,046.61","2,046.61","3,579,880,000","1,650.00"
"May 12, 2016","2,064.11","2,064.11","3,782,390,000","1,651.00"
"May 11, 2016","2,064.46","2,064.46","3,821,980,000","1,652.00"
"May 10, 2016","2,084.39","2,084.39","3,600,200,000","1,653.00"
"May 09, 2016","2,058.69","2,058.69","3,788,620,000","1,654.00"
"May 06, 2016","2,057.14","2,057.14","3,796,350,000","1,655.00"
"May 05, 2016","2,050.63","2,050.63","4,008,530,000","1,656.00"
"May 04, 2016","2,051.12","2,051.12","4,058,560,000","1,657.00"
"May 03, 2016","2,063.37","2,063.37","4,173,390,000","1,658.00"
"May 02, 2016","2,081.43","2,081.43","3,841,110,000","1,659.00"
"Apr 29, 2016","2,065.30","2,065.30","4,704,720,000","1,660.00"
"Apr 28, 2016","2,075.81","2,075.81","4,309,840,000","1,661.00"
"Apr 27, 2016","2,095.15","2,095.15","4,100,110,000","1,662.00"
"Apr 26, 2016","2,091.70","2,091.70","3,557,190,000","1,663.00"
"Apr 25, 2016","2,087.79","2,087.79","3,319,740,000","1,664.00"
"Apr 22, 2016","2,091.58","2,091.58","3,790,580,000","1,665.00"
"Apr 21, 2016","2,091.48","2,091.48","4,175,290,000","1,666.00"
"Apr 20, 2016","2,102.40","2,102.40","4,184,880,000","1,667.00"
"Apr 19, 2016","2,100.80","2,100.80","3,896,830,000","1,668.00"
"Apr 18, 2016","2,094.34","2,094.34","3,316,880,000","1,669.00"
"Apr 15, 2016","2,080.73","2,080.73","3,701,450,000","1,670.00"
"Apr 14, 2016","2,082.78","2,082.78","3,765,870,000","1,671.00"
"Apr 13, 2016","2,082.42","2,082.42","4,191,830,000","1,672.00"
"Apr 12, 2016","2,061.72","2,061.72","4,239,740,000","1,673.00"
"Apr 11, 2016","2,041.99","2,041.99","3,567,840,000","1,674.00"
"Apr 08, 2016","2,047.60","2,047.60","3,359,530,000","1,675.00"
"Apr 07, 2016","2,041.91","2,041.91","3,801,250,000","1,676.00"
"Apr 06, 2016","2,066.66","2,066.66","3,750,800,000","1,677.00"
"Apr 05, 2016","2,045.17","2,045.17","4,154,920,000","1,678.00"
"Apr 04, 2016","2,066.13","2,066.13","3,485,710,000","1,679.00"
"Apr 01, 2016","2,072.78","2,072.78","3,749,990,000","1,680.00"
"Mar 31, 2016","2,059.74","2,059.74","3,715,280,000","1,681.00"
"Mar 30, 2016","2,063.95","2,063.95","3,590,310,000","1,682.00"
"Mar 29, 2016","2,055.01","2,055.01","3,822,330,000","1,683.00"
"Mar 28, 2016","2,037.05","2,037.05","2,809,090,000","1,684.00"
"Mar 24, 2016","2,035.94","2,035.94","3,407,720,000","1,685.00"
"Mar 23, 2016","2,036.71","2,036.71","3,639,510,000","1,686.00"
"Mar 22, 2016","2,049.80","2,049.80","3,418,460,000","1,687.00"
"Mar 21, 2016","2,051.60","2,051.60","3,376,600,000","1,688.00"
"Mar 18, 2016","2,049.58","2,049.58","6,503,140,000","1,689.00"
"Mar 17, 2016","2,040.59","2,040.59","4,530,480,000","1,690.00"
"Mar 16, 2016","2,027.22","2,027.22","4,057,020,000","1,691.00"
"Mar 15, 2016","2,015.93","2,015.93","3,560,280,000","1,692.00"
"Mar 14, 2016","2,019.64","2,019.64","3,487,850,000","1,693.00"
"Mar 11, 2016","2,022.19","2,022.19","4,078,620,000","1,694.00"
"Mar 10, 2016","1,989.57","1,989.57","4,376,790,000","1,695.00"
"Mar 09, 2016","1,989.26","1,989.26","4,038,120,000","1,696.00"
"Mar 08, 2016","1,979.26","1,979.26","4,641,650,000","1,697.00"
"Mar 07, 2016","2,001.76","2,001.76","4,968,180,000","1,698.00"
"Mar 04, 2016","1,999.99","1,999.99","6,049,930,000","1,699.00"
"Mar 03, 2016","1,993.40","1,993.40","5,081,700,000","1,700.00"
"Mar 02, 2016","1,986.45","1,986.45","4,666,610,000","1,701.00"
"Mar 01, 2016","1,978.35","1,978.35","4,819,750,000","1,702.00"
"Feb 29, 2016","1,932.23","1,932.23","4,588,180,000","1,703.00"
"Feb 26, 2016","1,948.05","1,948.05","4,348,510,000","1,704.00"
"Feb 25, 2016","1,951.70","1,951.70","4,118,210,000","1,705.00"
"Feb 24, 2016","1,929.80","1,929.80","4,317,250,000","1,706.00"
"Feb 23, 2016","1,921.27","1,921.27","3,890,650,000","1,707.00"
"Feb 22, 2016","1,945.50","1,945.50","4,054,710,000","1,708.00"
"Feb 19, 2016","1,917.78","1,917.78","4,142,850,000","1,709.00"
"Feb 18, 2016","1,917.83","1,917.83","4,436,490,000","1,710.00"
"Feb 17, 2016","1,926.82","1,926.82","5,011,540,000","1,711.00"
"Feb 16, 2016","1,895.58","1,895.58","4,570,670,000","1,712.00"
"Feb 12, 2016","1,864.78","1,864.78","4,696,920,000","1,713.00"
"Feb 11, 2016","1,829.08","1,829.08","5,500,800,000","1,714.00"
"Feb 10, 2016","1,851.86","1,851.86","4,471,170,000","1,715.00"
"Feb 09, 2016","1,852.21","1,852.21","5,183,220,000","1,716.00"
"Feb 08, 2016","1,853.44","1,853.44","5,636,460,000","1,717.00"
"Feb 05, 2016","1,880.05","1,880.05","4,929,940,000","1,718.00"
"Feb 04, 2016","1,915.45","1,915.45","5,193,320,000","1,719.00"
"Feb 03, 2016","1,912.53","1,912.53","5,172,950,000","1,720.00"
"Feb 02, 2016","1,903.03","1,903.03","4,463,190,000","1,721.00"
"Feb 01, 2016","1,939.38","1,939.38","4,322,530,000","1,722.00"
"Jan 29, 2016","1,940.24","1,940.24","5,497,570,000","1,723.00"
"Jan 28, 2016","1,893.36","1,893.36","4,693,010,000","1,724.00"
"Jan 27, 2016","1,882.95","1,882.95","4,754,040,000","1,725.00"
"Jan 26, 2016","1,903.63","1,903.63","4,357,940,000","1,726.00"
"Jan 25, 2016","1,877.08","1,877.08","4,401,380,000","1,727.00"
"Jan 22, 2016","1,906.90","1,906.90","4,901,760,000","1,728.00"
"Jan 21, 2016","1,868.99","1,868.99","5,078,810,000","1,729.00"
"Jan 20, 2016","1,859.33","1,859.33","6,416,070,000","1,730.00"
"Jan 19, 2016","1,881.33","1,881.33","4,928,350,000","1,731.00"
"Jan 15, 2016","1,880.33","1,880.33","5,468,460,000","1,732.00"
"Jan 14, 2016","1,921.84","1,921.84","5,241,110,000","1,733.00"
"Jan 13, 2016","1,890.28","1,890.28","5,087,030,000","1,734.00"
