,Close,Inflation_Rate_EU,Inflation_Rate_USA,Interest_Rate_EU,Interest_Rate_GER,Funds_Rate_FED,Close_S&P500,Close_DAX
320,1.27428,2.2,1.9,3.1,1.34,0.16,1359.88,6950.529785
321,1.27428,2.2,1.9,3.1,1.34,0.16,1359.88,6950.529785
322,1.27428,2.2,1.9,3.1,1.34,0.16,1359.88,6950.529785
323,1.28129,2.2,1.9,3.1,1.34,0.16,1386.89,7123.839844
324,1.28166,2.2,1.9,3.1,1.34,0.16,1387.81,7172.990234
325,1.28289,2.2,1.9,3.1,1.34,0.16,1391.03,7184.709961
326,1.28848,2.2,1.9,3.1,1.34,0.16,1391.03,7244.990234
327,1.29736,2.2,1.9,3.1,1.34,0.16,1409.15,7309.129883
328,1.29736,2.2,1.9,3.1,1.34,0.16,1409.15,7309.129883
329,1.29736,2.2,1.9,3.1,1.34,0.16,1409.15,7309.129883
330,1.29716,2.2,1.9,3.1,1.34,0.16,1406.29,7292.029785
331,1.29422,2.2,1.9,3.1,1.34,0.16,1398.94,7332.330078
332,1.29521,2.2,1.9,3.1,1.34,0.16,1409.93,7343.410156
333,1.29787,2.2,1.9,3.1,1.34,0.16,1415.95,7400.959961
334,1.2986,2.2,1.9,3.1,1.34,0.16,1416.18,7405.5
335,1.29854,2.2,1.9,2.87,1.3,0.16,1416.18,7405.5
336,1.29854,2.2,1.9,2.87,1.3,0.16,1416.18,7405.5
337,1.30528,2.2,1.9,2.87,1.3,0.16,1409.46,7435.209961
338,1.30939,2.2,1.9,2.87,1.3,0.17,1407.05,7435.120117
339,1.30673,2.2,1.9,2.87,1.3,0.16,1409.28,7454.549805
340,1.2967,2.2,1.9,2.87,1.3,0.16,1413.94,7534.540039
341,1.29253,2.2,1.9,2.87,1.3,0.16,1418.07,7517.799805
342,1.29253,2.2,1.9,2.87,1.3,0.16,1418.07,7517.799805
343,1.29253,2.2,1.9,2.87,1.3,0.16,1418.07,7517.799805
344,1.29403,2.2,1.9,2.87,1.3,0.16,1418.55,7530.919922
345,1.3005,2.2,1.9,2.87,1.3,0.17,1427.84,7589.75
346,1.30737,2.2,1.9,2.87,1.3,0.17,1428.48,7614.790039
347,1.30771,2.2,1.9,2.87,1.3,0.16,1419.45,7581.97998
348,1.31626,2.2,1.9,2.87,1.3,0.17,1413.58,7596.470215
349,1.31626,2.2,1.9,2.87,1.3,0.17,1413.58,7596.470215
350,1.31626,2.2,1.9,2.87,1.3,0.17,1413.58,7596.470215
351,1.31635,2.2,1.9,2.87,1.3,0.16,1430.36,7604.939941
352,1.32282,2.2,1.9,2.87,1.3,0.17,1446.79,7653.580078
353,1.32269,2.2,1.9,2.87,1.3,0.17,1435.81,7668.5
354,1.32439,2.2,1.9,2.87,1.3,0.17,1443.69,7672.100098
355,1.31867,2.2,1.9,2.87,1.3,0.17,1430.15,7636.22998
356,1.31867,2.2,1.9,2.87,1.3,0.17,1430.15,7636.22998
357,1.31867,2.2,1.9,2.87,1.3,0.17,1430.15,7636.22998
358,1.31861,2.2,1.9,2.87,1.3,0.18,1426.66,7636.22998
359,1.31785,2.2,1.9,2.87,1.3,0.18,1426.66,7636.22998
360,1.3224,2.2,1.9,2.87,1.3,0.17,1419.83,7636.22998
361,1.32355,2.2,1.9,2.87,1.3,0.17,1418.1,7655.879883
