Date,Price,Open,High,Low,Vol.,Change %,
04/29/2016,"2,065.30","2,071.82","2,073.85","2,052.28",,-0.51%,"1,672.00"
05/02/2016,"2,081.43","2,067.17","2,083.42","2,066.11",,0.78%,"1,671.00"
05/03/2016,"2,063.37","2,077.18","2,077.18","2,054.89",,-0.87%,"1,670.00"
05/04/2016,"2,051.12","2,060.30","2,060.30","2,045.55",,-0.59%,"1,669.00"
05/05/2016,"2,050.63","2,052.95","2,060.23","2,045.77",,-0.02%,"1,668.00"
05/06/2016,"2,057.14","2,047.77","2,057.72","2,039.45",,0.32%,"1,667.00"
05/09/2016,"2,058.69","2,057.55","2,064.15","2,054.31",,0.08%,"1,666.00"
05/10/2016,"2,084.39","2,062.63","2,084.87","2,062.63",,1.25%,"1,665.00"
05/11/2016,"2,064.46","2,083.29","2,083.29","2,064.46",,-0.96%,"1,664.00"
05/12/2016,"2,064.11","2,067.17","2,073.99","2,053.13",,-0.02%,"1,663.00"
05/13/2016,"2,046.61","2,062.50","2,066.79","2,043.13",,-0.85%,"1,662.00"
05/16/2016,"2,066.66","2,046.53","2,071.88","2,046.53",,0.98%,"1,661.00"
05/17/2016,"2,047.21","2,065.04","2,065.69","2,040.82",,-0.94%,"1,660.00"
05/18/2016,"2,047.63","2,044.38","2,060.61","2,034.49",,0.02%,"1,659.00"
05/19/2016,"2,040.04","2,044.21","2,044.21","2,025.91",,-0.37%,"1,658.00"
05/20/2016,"2,052.32","2,041.88","2,058.35","2,041.88",,0.60%,"1,657.00"
05/23/2016,"2,048.04","2,052.23","2,055.58","2,047.26",,-0.21%,"1,656.00"
05/24/2016,"2,076.06","2,052.65","2,079.67","2,052.65",,1.37%,"1,655.00"
05/25/2016,"2,090.54","2,078.93","2,094.73","2,078.93",,0.70%,"1,654.00"
05/26/2016,"2,090.10","2,091.44","2,094.30","2,087.08",,-0.02%,"1,653.00"
05/27/2016,"2,099.06","2,090.06","2,099.06","2,090.06",,0.43%,"1,652.00"
05/31/2016,"2,096.96","2,100.13","2,103.48","2,088.66",,-0.10%,"1,651.00"
06/01/2016,"2,099.33","2,093.94","2,100.97","2,085.10",,0.11%,"1,650.00"
06/02/2016,"2,105.26","2,097.71","2,105.26","2,088.59",,0.28%,"1,649.00"
06/03/2016,"2,099.13","2,104.07","2,104.07","2,085.36",,-0.29%,"1,648.00"
06/06/2016,"2,109.41","2,100.83","2,113.36","2,100.83",,0.49%,"1,647.00"
06/07/2016,"2,112.13","2,110.18","2,119.22","2,110.18",,0.13%,"1,646.00"
06/08/2016,"2,119.12","2,112.71","2,120.55","2,112.71",,0.33%,"1,645.00"
06/09/2016,"2,115.48","2,115.65","2,117.64","2,107.73",,-0.17%,"1,644.00"
