Local time,Open,High,Low,Close,Volume
06.10.2013 17:00:00.000 GMT-0400,1.35629,1.35909,1.35425,1.35803,142946.7595
07.10.2013 17:00:00.000 GMT-0400,1.35807,1.36071,1.35576,1.35728,183080.3474
08.10.2013 17:00:00.000 GMT-0400,1.35727,1.36045,1.34855,1.35239,226537.55030000003
09.10.2013 17:00:00.000 GMT-0400,1.35239,1.35457,1.34877,1.35197,200757.9906
10.10.2013 17:00:00.000 GMT-0400,1.35196,1.35816,1.35180,1.35406,192419.33120000002
13.10.2013 17:00:00.000 GMT-0400,1.35595,1.35975,1.35450,1.35608,708148.3192
14.10.2013 17:00:00.000 GMT-0400,1.35608,1.35709,1.34790,1.35234,648858.7599000002
15.10.2013 17:00:00.000 GMT-0400,1.35235,1.35675,1.34727,1.35333,246869.96940000003
16.10.2013 17:00:00.000 GMT-0400,1.35336,1.36818,1.35158,1.36755,266539.04030000005
17.10.2013 17:00:00.000 GMT-0400,1.36755,1.37037,1.36592,1.36844,189806.49970000004
20.10.2013 17:00:00.000 GMT-0400,1.36840,1.36884,1.36509,1.36793,152054.8807
21.10.2013 17:00:00.000 GMT-0400,1.36793,1.37919,1.36623,1.37805,184349.82919999998
22.10.2013 17:00:00.000 GMT-0400,1.37807,1.37928,1.37410,1.37757,214818.80899999998
23.10.2013 17:00:00.000 GMT-0400,1.37757,1.38252,1.37640,1.38008,220225.6386
24.10.2013 17:00:00.000 GMT-0400,1.38007,1.38321,1.37740,1.38019,209357.87859999994
27.10.2013 17:00:00.000 GMT-0400,1.38059,1.38174,1.37750,1.37851,182732.5805
28.10.2013 17:00:00.000 GMT-0400,1.37851,1.38130,1.37362,1.37450,235587.85180000003
29.10.2013 17:00:00.000 GMT-0400,1.37450,1.37847,1.36960,1.37355,248615.8097
30.10.2013 17:00:00.000 GMT-0400,1.37355,1.37386,1.35750,1.35832,269089.6115
31.10.2013 17:00:00.000 GMT-0400,1.35833,1.35894,1.34795,1.34853,233844.66829999996
03.11.2013 17:00:00.000 GMT-0500,1.34866,1.35243,1.34420,1.35139,168419.37039999999
04.11.2013 17:00:00.000 GMT-0500,1.35140,1.35224,1.34490,1.34740,218613.9922
05.11.2013 17:00:00.000 GMT-0500,1.34742,1.35471,1.34675,1.35126,188353.44100000005
06.11.2013 17:00:00.000 GMT-0500,1.35124,1.35287,1.32950,1.34194,284492.5304
07.11.2013 17:00:00.000 GMT-0500,1.34189,1.34377,1.33178,1.33648,229839.77159999998
10.11.2013 17:00:00.000 GMT-0500,1.33572,1.34162,1.33446,1.34066,151485.36839999998
11.11.2013 17:00:00.000 GMT-0500,1.34059,1.34561,1.33590,1.34355,233532.4314
12.11.2013 17:00:00.000 GMT-0500,1.34355,1.34953,1.33898,1.34862,229620.76009999996
13.11.2013 17:00:00.000 GMT-0500,1.34863,1.34972,1.34179,1.34586,239679.3907
14.11.2013 17:00:00.000 GMT-0500,1.34586,1.35052,1.34322,1.34941,174539.80940000003
17.11.2013 17:00:00.000 GMT-0500,1.34960,1.35415,1.34745,1.35055,183672.39779999998
18.11.2013 17:00:00.000 GMT-0500,1.35055,1.35468,1.34872,1.35383,212493.46969999996
19.11.2013 17:00:00.000 GMT-0500,1.35380,1.35774,1.34147,1.34382,246606.8119
20.11.2013 17:00:00.000 GMT-0500,1.34383,1.34864,1.33992,1.34813,245111.19090000002
21.11.2013 17:00:00.000 GMT-0500,1.34814,1.35569,1.34623,1.35564,187537.3900999999
