,Close,MA10,MACD,ROC,Momentum,RSI,BOLU,BOLD,CCI,Inflation_Rate_EU,Inflation_Rate_USA,Interest_Rate_EU,Interest_Rate_GER,Funds_Rate_FED,Close_S&P500,Close_DAX
135,1.23904,1.252344,-0.004134074,-0.01083338,-0.01844,38.03809273,1.269691742,1.241963925,-144.8926236,2.4,2.3,3.82,1.34,0.16,1330.66,6401.060059
136,1.2285,1.249525,-0.005796308,-0.008506586,-0.03217,32.81959006,1.272232026,1.237490307,-228.4579695,2.4,2.3,3.82,1.34,0.16,1324.8,6384.259766
137,1.23119,1.247614,-0.006817987,0.002189662,-0.02142,35.33531694,1.274181446,1.23307522,-193.3188031,2.4,2.3,3.82,1.34,0.16,1304.86,6308.959961
138,1.22491,1.245185,-0.008041718,-0.005100756,-0.01413,32.2068344,1.276043858,1.229024475,-176.0578095,2.4,2.3,3.82,1.34,0.16,1295.22,6271.220215
139,1.22379,1.242876,-0.008998182,-0.000914353,-0.00471,31.65152472,1.277425508,1.224663825,-158.642024,2.4,2.3,3.82,1.34,0.16,1295.22,6271.220215
140,1.22025,1.240471,-0.009927399,-0.002892653,-0.01094,29.8443817,1.278189146,1.219927187,-154.8987106,2.4,2.3,3.82,1.34,0.16,1295.22,6271.220215
141,1.22483,1.236327,-0.010176929,0.003753329,-8.00E-05,35.16573605,1.277616493,1.216401841,-126.3165476,2.4,2.3,3.82,1.34,0.16,1315.99,6331.040039
142,1.22719,1.233298,-0.010068191,0.001926798,0.0034,37.86413458,1.276299474,1.213899526,-99.88134546,2.4,2.3,3.82,1.34,0.16,1316.63,6435.600098
143,1.22936,1.230167,-0.009695155,0.001768267,0.00911,40.39847023,1.273751157,1.212492843,-80.07726216,2.4,2.3,3.82,1.34,0.15,1318.86,6285.75
144,1.22829,1.227735,-0.009377761,-0.000870372,0.00346,39.51545081,1.269856656,1.212119677,-69.88093075,2.4,2.3,3.82,1.34,0.15,1320.68,6315.890137
145,1.228,1.226631,-0.009045354,-0.000236101,0.00081,39.2570495,1.267552344,1.21126299,-59.18110395,2.4,2.3,3.82,1.34,0.15,1317.82,6339.939941
146,1.21563,1.225344,-0.009668622,-0.01007329,-0.01373,29.9689235,1.265992112,1.209204554,-91.41970259,2.4,2.3,3.82,1.34,0.15,1317.82,6339.939941
147,1.21158,1.223383,-0.01036983,-0.003331606,-0.01671,27.59390789,1.26552586,1.20566014,-121.6838481,2.4,2.3,3.82,1.34,0.15,1317.82,6339.939941
148,1.2059,1.221482,-0.01125414,-0.004688093,-0.0221,24.56079517,1.265132914,1.201968086,-125.4351846,2.4,2.3,3.82,1.34,0.15,1317.82,6323.189941
149,1.21574,1.220677,-0.011033766,0.008159881,0.00011,37.73497933,1.263979908,1.199641758,-96.50631809,2.4,2.3,3.82,1.34,0.16,1332.42,6396.839844
